spend_id;spend_date;campaign_id;campaign_name;channel;impressions;clicks;spend_rub
178;2024-02-14;YA_GENERIC;Yandex Generic;Yandex Ads;5368;227;6817
179;2024-02-14;VK_RETARGET;VK Retargeting;VK Ads;16317;157;2958
180;2024-02-14;TG_LOCAL;Telegram Chelyabinsk;Telegram;5128;93;1647
181;2024-02-15;YA_BRAND;Yandex Brand;Yandex Ads;2667;151;3513
182;2024-02-15;YA_GENERIC;Yandex Generic;Yandex Ads;4229;183;5950
183;2024-02-15;VK_RETARGET;VK Retargeting;VK Ads;13005;132;2541
184;2024-02-15;TG_LOCAL;Telegram Chelyabinsk;Telegram;5006;94;1553
185;2024-02-16;YA_BRAND;Yandex Brand;Yandex Ads;2554;142;3238
186;2024-02-16;YA_GENERIC;Yandex Generic;Yandex Ads;4819;199;6166
187;2024-02-16;VK_RETARGET;VK Retargeting;VK Ads;16034;160;3020
188;2024-02-16;TG_LOCAL;Telegram Chelyabinsk;Telegram;5848;109;1772
189;2024-02-17;YA_BRAND;Yandex Brand;Yandex Ads;2487;143;3251
190;2024-02-17;YA_GENERIC;Yandex Generic;Yandex Ads;4643;198;5967
191;2024-02-17;VK_RETARGET;VK Retargeting;VK Ads;11582;113;2123
192;2024-02-17;TG_LOCAL;Telegram Chelyabinsk;Telegram;4314;80;1298
193;2024-02-18;YA_BRAND;Yandex Brand;Yandex Ads;2478;141;3334
194;2024-02-18;YA_GENERIC;Yandex Generic;Yandex Ads;4059;173;5343
195;2024-02-18;VK_RETARGET;VK Retargeting;VK Ads;10959;105;2127
196;2024-02-18;TG_LOCAL;Telegram Chelyabinsk;Telegram;4280;76;1310
197;2024-02-19;YA_BRAND;Yandex Brand;Yandex Ads;2622;140;3151
198;2024-02-19;YA_GENERIC;Yandex Generic;Yandex Ads;5576;233;7022
199;2024-02-19;VK_RETARGET;VK Retargeting;VK Ads;15360;156;2783
200;2024-02-19;TG_LOCAL;Telegram Chelyabinsk;Telegram;5603;102;1643
201;2024-02-20;YA_BRAND;Yandex Brand;Yandex Ads;2278;130;3274
202;2024-02-20;YA_GENERIC;Yandex Generic;Yandex Ads;4690;200;6026
203;2024-02-20;VK_RETARGET;VK Retargeting;VK Ads;14126;139;2566
204;2024-02-20;TG_LOCAL;Telegram Chelyabinsk;Telegram;5059;89;1528
205;2024-02-21;YA_BRAND;Yandex Brand;Yandex Ads;2601;140;3541
206;2024-02-21;YA_GENERIC;Yandex Generic;Yandex Ads;4907;216;6654
207;2024-02-21;VK_RETARGET;VK Retargeting;VK Ads;15187;150;2987
208;2024-02-21;TG_LOCAL;Telegram Chelyabinsk;Telegram;4856;85;1431
209;2024-02-22;YA_BRAND;Yandex Brand;Yandex Ads;2909;166;3762
210;2024-02-22;YA_GENERIC;Yandex Generic;Yandex Ads;5381;225;7071
211;2024-02-22;VK_RETARGET;VK Retargeting;VK Ads;13391;136;2635
212;2024-02-22;TG_LOCAL;Telegram Chelyabinsk;Telegram;5674;103;1647
213;2024-02-23;YA_BRAND;Yandex Brand;Yandex Ads;2095;121;3083
214;2024-02-23;YA_GENERIC;Yandex Generic;Yandex Ads;4696;203;5965
215;2024-02-23;VK_RETARGET;VK Retargeting;VK Ads;13791;132;2572
216;2024-02-23;TG_LOCAL;Telegram Chelyabinsk;Telegram;5004;93;1577
217;2024-02-24;YA_BRAND;Yandex Brand;Yandex Ads;2623;138;3134
218;2024-02-24;YA_GENERIC;Yandex Generic;Yandex Ads;3964;173;5700
219;2024-02-24;VK_RETARGET;VK Retargeting;VK Ads;13046;128;2471
220;2024-02-24;TG_LOCAL;Telegram Chelyabinsk;Telegram;4927;92;1503
221;2024-02-25;YA_BRAND;Yandex Brand;Yandex Ads;2352;129;2997
222;2024-02-25;YA_GENERIC;Yandex Generic;Yandex Ads;4213;182;5764
223;2024-02-25;VK_RETARGET;VK Retargeting;VK Ads;11602;117;2388
224;2024-02-25;TG_LOCAL;Telegram Chelyabinsk;Telegram;4117;73;1272
225;2024-02-26;YA_BRAND;Yandex Brand;Yandex Ads;2964;162;3758
226;2024-02-26;YA_GENERIC;Yandex Generic;Yandex Ads;5032;210;6276
227;2024-02-26;VK_RETARGET;VK Retargeting;VK Ads;15976;161;2979
228;2024-02-26;TG_LOCAL;Telegram Chelyabinsk;Telegram;5418;95;1535
229;2024-02-27;YA_BRAND;Yandex Brand;Yandex Ads;2893;160;3771
230;2024-02-27;YA_GENERIC;Yandex Generic;Yandex Ads;5194;224;6852
231;2024-02-27;VK_RETARGET;VK Retargeting;VK Ads;13675;142;2649
232;2024-02-27;TG_LOCAL;Telegram Chelyabinsk;Telegram;5692;102;1731
233;2024-02-28;YA_BRAND;Yandex Brand;Yandex Ads;2406;129;3152
234;2024-02-28;YA_GENERIC;Yandex Generic;Yandex Ads;5146;206;6714
235;2024-02-28;VK_RETARGET;VK Retargeting;VK Ads;14314;143;2909
236;2024-02-28;TG_LOCAL;Telegram Chelyabinsk;Telegram;5436;94;1596
237;2024-02-29;YA_BRAND;Yandex Brand;Yandex Ads;2332;129;3079
238;2024-02-29;YA_GENERIC;Yandex Generic;Yandex Ads;5216;224;6558
239;2024-02-29;VK_RETARGET;VK Retargeting;VK Ads;14010;147;2912
240;2024-02-29;TG_LOCAL;Telegram Chelyabinsk;Telegram;5581;100;1627
241;2024-03-01;YA_BRAND;Yandex Brand;Yandex Ads;3218;173;3931
242;2024-03-01;YA_GENERIC;Yandex Generic;Yandex Ads;4626;192;6372
243;2024-03-01;VK_RETARGET;VK Retargeting;VK Ads;14936;155;2991
244;2024-03-01;TG_LOCAL;Telegram Chelyabinsk;Telegram;4814;88;1580
245;2024-03-02;YA_BRAND;Yandex Brand;Yandex Ads;2535;145;3623
246;2024-03-02;YA_GENERIC;Yandex Generic;Yandex Ads;5106;217;6557
247;2024-03-02;VK_RETARGET;VK Retargeting;VK Ads;11977;116;2321
248;2024-03-02;TG_LOCAL;Telegram Chelyabinsk;Telegram;4974;90;1470
249;2024-03-03;YA_BRAND;Yandex Brand;Yandex Ads;2429;135;3168
250;2024-03-03;YA_GENERIC;Yandex Generic;Yandex Ads;4350;180;5850
251;2024-03-03;VK_RETARGET;VK Retargeting;VK Ads;14347;139;2659
252;2024-03-03;TG_LOCAL;Telegram Chelyabinsk;Telegram;4374;80;1414
253;2024-03-04;YA_BRAND;Yandex Brand;Yandex Ads;2919;154;3520
254;2024-03-04;YA_GENERIC;Yandex Generic;Yandex Ads;5308;223;6968
255;2024-03-04;VK_RETARGET;VK Retargeting;VK Ads;16816;169;3090
256;2024-03-04;TG_LOCAL;Telegram Chelyabinsk;Telegram;5491;98;1562
257;2024-03-05;YA_BRAND;Yandex Brand;Yandex Ads;3037;175;4125
258;2024-03-05;YA_GENERIC;Yandex Generic;Yandex Ads;5369;222;6747
259;2024-03-05;VK_RETARGET;VK Retargeting;VK Ads;14574;142;2643
260;2024-03-05;TG_LOCAL;Telegram Chelyabinsk;Telegram;5046;88;1594
261;2024-03-06;YA_BRAND;Yandex Brand;Yandex Ads;2668;152;3867
262;2024-03-06;YA_GENERIC;Yandex Generic;Yandex Ads;5265;230;7558
263;2024-03-06;VK_RETARGET;VK Retargeting;VK Ads;13815;141;2654
264;2024-03-06;TG_LOCAL;Telegram Chelyabinsk;Telegram;5915;105;1679
265;2024-03-07;YA_BRAND;Yandex Brand;Yandex Ads;2959;167;3835
266;2024-03-07;YA_GENERIC;Yandex Generic;Yandex Ads;4533;198;6039
267;2024-03-07;VK_RETARGET;VK Retargeting;VK Ads;15465;150;2945
268;2024-03-07;TG_LOCAL;Telegram Chelyabinsk;Telegram;6068;113;1818
269;2024-03-08;YA_BRAND;Yandex Brand;Yandex Ads;2919;158;3813
270;2024-03-08;YA_GENERIC;Yandex Generic;Yandex Ads;4723;203;6427
271;2024-03-08;VK_RETARGET;VK Retargeting;VK Ads;14276;141;2595
272;2024-03-08;TG_LOCAL;Telegram Chelyabinsk;Telegram;6501;115;1865
273;2024-03-09;YA_BRAND;Yandex Brand;Yandex Ads;2135;117;3013
274;2024-03-09;YA_GENERIC;Yandex Generic;Yandex Ads;5357;219;6379
275;2024-03-09;VK_RETARGET;VK Retargeting;VK Ads;13533;129;2395
276;2024-03-09;TG_LOCAL;Telegram Chelyabinsk;Telegram;5109;90;1432
277;2024-03-10;YA_BRAND;Yandex Brand;Yandex Ads;2312;126;2882
278;2024-03-10;YA_GENERIC;Yandex Generic;Yandex Ads;4438;195;6390
279;2024-03-10;VK_RETARGET;VK Retargeting;VK Ads;13791;144;2714
280;2024-03-10;TG_LOCAL;Telegram Chelyabinsk;Telegram;4713;89;1480
281;2024-03-11;YA_BRAND;Yandex Brand;Yandex Ads;2651;140;3499
282;2024-03-11;YA_GENERIC;Yandex Generic;Yandex Ads;5237;213;6977
283;2024-03-11;VK_RETARGET;VK Retargeting;VK Ads;17540;175;3178
284;2024-03-11;TG_LOCAL;Telegram Chelyabinsk;Telegram;5262;98;1624
285;2024-03-12;YA_BRAND;Yandex Brand;Yandex Ads;2997;170;3883
286;2024-03-12;YA_GENERIC;Yandex Generic;Yandex Ads;5996;241;7206
287;2024-03-12;VK_RETARGET;VK Retargeting;VK Ads;16453;166;3173
288;2024-03-12;TG_LOCAL;Telegram Chelyabinsk;Telegram;6166;112;1907
289;2024-03-13;YA_BRAND;Yandex Brand;Yandex Ads;2735;146;3307
290;2024-03-13;YA_GENERIC;Yandex Generic;Yandex Ads;5112;223;7422
291;2024-03-13;VK_RETARGET;VK Retargeting;VK Ads;16035;168;3235
292;2024-03-13;TG_LOCAL;Telegram Chelyabinsk;Telegram;5831;108;1873
293;2024-03-14;YA_BRAND;Yandex Brand;Yandex Ads;2940;161;3684
294;2024-03-14;YA_GENERIC;Yandex Generic;Yandex Ads;5494;223;7007
295;2024-03-14;VK_RETARGET;VK Retargeting;VK Ads;13977;135;2625
296;2024-03-14;TG_LOCAL;Telegram Chelyabinsk;Telegram;4976;94;1592
297;2024-03-15;YA_BRAND;Yandex Brand;Yandex Ads;2801;156;3586
298;2024-03-15;YA_GENERIC;Yandex Generic;Yandex Ads;5424;225;6961
299;2024-03-15;VK_RETARGET;VK Retargeting;VK Ads;14558;140;2697
300;2024-03-15;TG_LOCAL;Telegram Chelyabinsk;Telegram;5952;106;1833
301;2024-03-16;YA_BRAND;Yandex Brand;Yandex Ads;2391;137;3105
302;2024-03-16;YA_GENERIC;Yandex Generic;Yandex Ads;4941;200;6112
303;2024-03-16;VK_RETARGET;VK Retargeting;VK Ads;12654;125;2549
304;2024-03-16;TG_LOCAL;Telegram Chelyabinsk;Telegram;5278;99;1587
305;2024-03-17;YA_BRAND;Yandex Brand;Yandex Ads;2743;148;3585
306;2024-03-17;YA_GENERIC;Yandex Generic;Yandex Ads;4251;173;5568
307;2024-03-17;VK_RETARGET;VK Retargeting;VK Ads;11850;123;2451
308;2024-03-17;TG_LOCAL;Telegram Chelyabinsk;Telegram;5351;95;1630
309;2024-03-18;YA_BRAND;Yandex Brand;Yandex Ads;2862;160;4071
310;2024-03-18;YA_GENERIC;Yandex Generic;Yandex Ads;6346;264;7654
311;2024-03-18;VK_RETARGET;VK Retargeting;VK Ads;16036;157;3163
312;2024-03-18;TG_LOCAL;Telegram Chelyabinsk;Telegram;4687;86;1553
313;2024-03-19;YA_BRAND;Yandex Brand;Yandex Ads;3072;167;4047
314;2024-03-19;YA_GENERIC;Yandex Generic;Yandex Ads;4946;211;6376
315;2024-03-19;VK_RETARGET;VK Retargeting;VK Ads;15012;146;2884
316;2024-03-19;TG_LOCAL;Telegram Chelyabinsk;Telegram;6059;106;1840
317;2024-03-20;YA_BRAND;Yandex Brand;Yandex Ads;2880;152;3882
318;2024-03-20;YA_GENERIC;Yandex Generic;Yandex Ads;5615;238;7494
319;2024-03-20;VK_RETARGET;VK Retargeting;VK Ads;15463;158;2850
320;2024-03-20;TG_LOCAL;Telegram Chelyabinsk;Telegram;5519;100;1761
321;2024-03-21;YA_BRAND;Yandex Brand;Yandex Ads;2613;141;3394
322;2024-03-21;YA_GENERIC;Yandex Generic;Yandex Ads;4846;210;6718
323;2024-03-21;VK_RETARGET;VK Retargeting;VK Ads;14847;153;2846
324;2024-03-21;TG_LOCAL;Telegram Chelyabinsk;Telegram;5346;100;1804
325;2024-03-22;YA_BRAND;Yandex Brand;Yandex Ads;2589;141;3368
326;2024-03-22;YA_GENERIC;Yandex Generic;Yandex Ads;5086;207;6577
327;2024-03-22;VK_RETARGET;VK Retargeting;VK Ads;16507;164;3117
328;2024-03-22;TG_LOCAL;Telegram Chelyabinsk;Telegram;6724;116;1853
329;2024-03-23;YA_BRAND;Yandex Brand;Yandex Ads;2633;150;3619
330;2024-03-23;YA_GENERIC;Yandex Generic;Yandex Ads;4336;176;5507
331;2024-03-23;VK_RETARGET;VK Retargeting;VK Ads;12762;131;2373
332;2024-03-23;TG_LOCAL;Telegram Chelyabinsk;Telegram;4650;81;1342
333;2024-03-24;YA_BRAND;Yandex Brand;Yandex Ads;1968;111;2872
