payment_id;order_id;payment_datetime;payment_method;payment_status;failure_reason;amount
1100118;700118;2024-01-06 17:34:10;Банковская карта;successful;;4745
1100119;700119;2024-01-06 16:43:48;СБП;successful;;6736
1100120;700120;2024-01-06 22:44:50;Банковская карта;successful;;19800
1100121;700121;2024-01-06 11:02:21;СБП;successful;;60357
1100122;700122;2024-01-06 17:18:51;СБП;successful;;61011
1100123;700123;2024-01-06 12:31:15;Наличными при получении;successful;;75180
1100124;700124;2024-01-06 19:06:46;Наличными при получении;successful;;31885
1100125;700125;2024-01-06 17:24:04;СБП;failed;Пользователь отменил оплату;26134
1100126;700126;2024-01-07 08:36:55;СБП;successful;;1139
1100127;700127;2024-01-07 17:14:45;Банковская карта;successful;;1168
1100128;700128;2024-01-07 09:52:36;Банковская карта;successful;;23050
1100129;700129;2024-01-07 19:10:41;СБП;successful;;19567
1100130;700130;2024-01-07 11:36:16;ЮMoney;failed;Отклонено банком;569
1100131;700131;2024-01-07 18:51:58;Банковская карта;successful;;1501
1100132;700132;2024-01-07 18:36:35;Рассрочка;successful;;2055
1100133;700133;2024-01-07 20:47:10;Банковская карта;successful;;35801
1100134;700134;2024-01-07 20:42:32;ЮMoney;successful;;39840
1100135;700135;2024-01-07 08:32:09;Банковская карта;successful;;21725
1100136;700136;2024-01-07 17:43:06;Банковская карта;successful;;13380
1100137;700137;2024-01-07 22:23:29;СБП;successful;;108490
1100138;700138;2024-01-07 20:43:05;СБП;successful;;68177
1100139;700139;2024-01-07 18:56:22;ЮMoney;successful;;23480
1100140;700140;2024-01-07 17:23:41;Наличными при получении;successful;;19880
1100141;700141;2024-01-07 18:43:23;Банковская карта;successful;;25790
1100142;700142;2024-01-07 18:39:26;ЮMoney;successful;;19735
1100143;700143;2024-01-07 23:04:48;Наличными при получении;failed;Пользователь отменил оплату;40035
1100144;700144;2024-01-07 13:54:30;Банковская карта;successful;;9157
1100145;700145;2024-01-07 12:30:15;ЮMoney;successful;;1547
1100146;700146;2024-01-07 15:41:19;Банковская карта;successful;;20440
1100147;700147;2024-01-07 21:10:01;Банковская карта;successful;;27480
1100148;700148;2024-01-07 20:24:42;Банковская карта;successful;;28990
1100149;700149;2024-01-07 19:31:53;Банковская карта;refunded;Заказ отменён клиентом после оплаты;28680
1100150;700150;2024-01-07 13:54:32;Банковская карта;refunded;;17655
1100151;700151;2024-01-07 21:02:16;Наличными при получении;successful;;2635
1100152;700152;2024-01-07 14:30:14;Банковская карта;successful;;22243
1100153;700153;2024-01-08 15:48:50;Наличными при получении;successful;;90157
1100154;700154;2024-01-08 15:29:50;Наличными при получении;successful;;711
1100155;700155;2024-01-08 10:30:43;СБП;successful;;49567
1100156;700156;2024-01-08 15:37:44;СБП;successful;;76620
1100157;700157;2024-01-08 20:39:17;Банковская карта;successful;;97299
1100158;700158;2024-01-08 18:48:55;Наличными при получении;successful;;1480
1100159;700159;2024-01-08 17:36:51;СБП;successful;;28917
1100160;700160;2024-01-08 15:46:35;Рассрочка;refunded;Заказ отменён клиентом после оплаты;8107
1100161;700161;2024-01-08 17:05:59;СБП;successful;;30170
1100162;700162;2024-01-08 19:04:02;Рассрочка;successful;;2126
1100163;700163;2024-01-08 19:46:59;Банковская карта;successful;;7568
1100164;700164;2024-01-08 12:29:37;СБП;successful;;50790
1100165;700165;2024-01-08 21:09:19;Наличными при получении;successful;;111790
1100166;700166;2024-01-08 18:19:43;Банковская карта;successful;;67330
1100167;700167;2024-01-08 19:29:55;Наличными при получении;failed;Ошибка платёжного шлюза;35826
1100168;700168;2024-01-08 19:42:39;Рассрочка;refunded;Заказ отменён клиентом после оплаты;27345
1100169;700169;2024-01-08 19:53:24;СБП;refunded;;9205
1100170;700170;2024-01-08 18:32:26;Банковская карта;successful;;53739
1100171;700171;2024-01-08 17:58:31;СБП;successful;;38480
1100172;700172;2024-01-09 17:26:55;Наличными при получении;successful;;25180
1100173;700173;2024-01-09 17:54:32;Наличными при получении;successful;;23339
1100174;700174;2024-01-09 16:20:08;Рассрочка;successful;;82567
1100175;700175;2024-01-09 14:31:13;Банковская карта;successful;;3990
1100176;700176;2024-01-09 11:49:28;СБП;successful;;91890
1100177;700177;2024-01-09 16:32:06;Наличными при получении;successful;;60085
1100178;700178;2024-01-09 16:07:20;Наличными при получении;successful;;44180
1100179;700179;2024-01-09 23:05:13;Рассрочка;successful;;37980
1100180;700180;2024-01-09 16:12:14;Банковская карта;refunded;;99880
1100181;700181;2024-01-09 11:36:01;СБП;successful;;2800
1100182;700182;2024-01-09 15:22:03;Банковская карта;successful;;36657
1100183;700183;2024-01-09 18:54:38;Банковская карта;failed;Недостаточно средств;2567
1100184;700184;2024-01-09 13:41:01;Банковская карта;failed;Ошибка платёжного шлюза;123166
1100185;700185;2024-01-09 11:30:28;СБП;successful;;1155
1100186;700186;2024-01-09 21:03:09;СБП;successful;;17186
1100187;700187;2024-01-09 15:23:44;Банковская карта;successful;;64762
1100188;700188;2024-01-09 16:30:30;Банковская карта;successful;;1345
1100189;700189;2024-01-09 18:14:22;СБП;successful;;109090
1100190;700190;2024-01-09 16:19:26;СБП;successful;;35490
1100191;700191;2024-01-09 20:01:34;Банковская карта;successful;;21035
1100192;700192;2024-01-10 09:50:23;СБП;successful;;45451
1100193;700193;2024-01-10 19:18:04;Рассрочка;successful;;67345
1100194;700194;2024-01-10 22:18:25;СБП;successful;;10090
1100195;700195;2024-01-10 13:24:58;Банковская карта;successful;;18197
1100196;700196;2024-01-10 15:42:53;Банковская карта;successful;;22776
1100197;700197;2024-01-10 20:15:49;СБП;successful;;107035
1100198;700198;2024-01-10 09:45:08;Наличными при получении;successful;;20781
1100199;700199;2024-01-10 08:03:59;Банковская карта;successful;;1269
1100200;700200;2024-01-10 15:02:00;Банковская карта;successful;;17031
1100201;700201;2024-01-10 20:02:23;Банковская карта;successful;;1780
1100202;700202;2024-01-10 19:57:18;СБП;successful;;97575
1100203;700203;2024-01-10 23:16:46;Банковская карта;successful;;36696
1100204;700204;2024-01-10 08:20:37;Банковская карта;successful;;1661
1100205;700205;2024-01-10 16:40:20;Наличными при получении;successful;;991
1100206;700206;2024-01-10 15:32:58;СБП;successful;;61060
1100207;700207;2024-01-10 23:12:48;СБП;successful;;47361
1100208;700208;2024-01-10 16:56:23;СБП;successful;;67490
1100209;700209;2024-01-11 14:41:39;СБП;successful;;74680
1100210;700210;2024-01-11 09:23:26;СБП;successful;;8969
1100211;700211;2024-01-11 16:19:25;СБП;successful;;24291
1100212;700212;2024-01-11 20:48:29;СБП;successful;;73135
1100213;700213;2024-01-11 17:36:47;Наличными при получении;successful;;848
1100214;700214;2024-01-11 19:27:04;СБП;successful;;34399
1100215;700215;2024-01-11 16:59:51;Банковская карта;successful;;4157
1100216;700216;2024-01-11 22:49:32;Банковская карта;refunded;;1572
1100217;700217;2024-01-11 20:38:51;Банковская карта;successful;;7567
1100218;700218;2024-01-11 22:00:31;Банковская карта;successful;;48595
1100219;700219;2024-01-11 11:47:04;СБП;successful;;21490
1100220;700220;2024-01-11 15:34:21;Банковская карта;successful;;29989
1100221;700221;2024-01-11 10:12:09;СБП;successful;;17189
1100222;700222;2024-01-11 16:01:18;Банковская карта;successful;;13240
1100223;700223;2024-01-11 15:57:31;СБП;successful;;4101
1100224;700224;2024-01-11 15:53:42;СБП;successful;;21880
1100225;700225;2024-01-12 09:42:21;Рассрочка;successful;;23835
1100226;700226;2024-01-12 22:45:57;Банковская карта;refunded;Заказ отменён клиентом после оплаты;43478
1100227;700227;2024-01-12 23:45:12;Банковская карта;refunded;;13015
1100228;700228;2024-01-12 18:00:36;СБП;successful;;8438
1100229;700229;2024-01-12 17:02:36;Банковская карта;successful;;6480
1100230;700230;2024-01-12 19:45:23;Банковская карта;successful;;3836
1100231;700231;2024-01-12 21:27:24;СБП;successful;;1580
1100232;700232;2024-01-12 22:05:36;Банковская карта;successful;;697
1100233;700233;2024-01-12 15:33:52;Банковская карта;successful;;543
1100234;700234;2024-01-12 15:56:06;СБП;successful;;2518
1100235;700235;2024-01-12 12:51:43;Банковская карта;failed;Отклонено банком;6166
1100236;700236;2024-01-12 16:12:56;СБП;successful;;2970
1100237;700237;2024-01-12 16:06:24;Банковская карта;successful;;27680
1100238;700238;2024-01-12 14:04:23;Рассрочка;successful;;39280
1100239;700239;2024-01-12 14:28:46;СБП;successful;;70175
1100240;700240;2024-01-12 21:17:54;Банковская карта;successful;;6884
1100241;700241;2024-01-12 17:31:12;СБП;successful;;25490
1100242;700242;2024-01-12 17:47:29;СБП;failed;Отклонено банком;8057
1100243;700243;2024-01-12 22:51:16;Банковская карта;successful;;69256
1100244;700244;2024-01-12 22:05:38;СБП;successful;;25480
1100245;700245;2024-01-13 15:50:02;Банковская карта;successful;;73951
1100246;700246;2024-01-13 16:34:50;СБП;successful;;4201
1100247;700247;2024-01-13 14:14:47;СБП;successful;;14346
1100248;700248;2024-01-13 20:50:55;Банковская карта;refunded;Заказ отменён клиентом после оплаты;35790
1100249;700249;2024-01-13 15:42:17;Банковская карта;refunded;;9661
1100250;700250;2024-01-13 21:37:07;Банковская карта;successful;;96906
1100251;700251;2024-01-13 13:33:21;Банковская карта;successful;;99790
1100252;700252;2024-01-13 23:37:43;Наличными при получении;failed;Ошибка платёжного шлюза;877
1100253;700253;2024-01-13 17:11:18;Банковская карта;successful;;85695
1100254;700254;2024-01-13 20:47:31;Банковская карта;successful;;105250
1100255;700255;2024-01-13 21:02:05;СБП;successful;;39289
1100256;700256;2024-01-13 16:38:38;Банковская карта;successful;;1457
1100257;700257;2024-01-13 11:17:13;Наличными при получении;successful;;111790
1100258;700258;2024-01-13 16:32:01;СБП;failed;Отклонено банком;34500
1100259;700259;2024-01-13 09:49:02;Банковская карта;refunded;Заказ отменён клиентом после оплаты;3801
1100260;700260;2024-01-13 20:15:44;Банковская карта;failed;Пользователь отменил оплату;4460
1100261;700261;2024-01-13 21:43:35;Банковская карта;successful;;27990
1100262;700262;2024-01-13 15:15:57;Рассрочка;successful;;44811
1100263;700263;2024-01-13 15:20:53;Банковская карта;successful;;7301
1100264;700264;2024-01-13 20:13:18;Банковская карта;successful;;9400
1100265;700265;2024-01-13 15:09:10;СБП;successful;;23335
1100266;700266;2024-01-13 20:45:15;Банковская карта;successful;;18895
1100267;700267;2024-01-13 15:10:55;Банковская карта;successful;;18990
1100268;700268;2024-01-13 21:13:14;СБП;successful;;25490
1100269;700269;2024-01-13 11:20:53;Банковская карта;successful;;4735
1100270;700270;2024-01-13 21:11:13;Банковская карта;successful;;40505
1100271;700271;2024-01-14 18:37:08;Банковская карта;successful;;853
1100272;700272;2024-01-14 18:00:40;Банковская карта;successful;;9157
1100273;700273;2024-01-14 19:33:10;Рассрочка;successful;;24289
1100274;700274;2024-01-14 21:56:16;Банковская карта;successful;;50957
1100275;700275;2024-01-14 12:45:53;СБП;successful;;108826
1100276;700276;2024-01-14 16:59:24;Банковская карта;successful;;10090
1100277;700277;2024-01-14 11:56:20;Банковская карта;successful;;25191
1100278;700278;2024-01-14 19:35:11;Банковская карта;successful;;32820
1100279;700279;2024-01-14 18:10:42;Наличными при получении;successful;;26107
1100280;700280;2024-01-14 17:04:23;СБП;successful;;8790
1100281;700281;2024-01-14 19:53:17;Банковская карта;failed;Недостаточно средств;25736
1100282;700282;2024-01-14 14:18:52;СБП;successful;;68357
1100283;700283;2024-01-14 13:55:14;СБП;successful;;26506
1100284;700284;2024-01-14 21:58:24;Банковская карта;successful;;49957
1100285;700285;2024-01-14 17:12:19;Банковская карта;successful;;29525
1100286;700286;2024-01-14 16:34:53;Банковская карта;successful;;23345
1100287;700287;2024-01-14 19:17:30;Наличными при получении;failed;Недостаточно средств;3601
1100288;700288;2024-01-14 17:01:30;Банковская карта;successful;;33024
1100289;700289;2024-01-14 15:23:31;Рассрочка;successful;;41177
1100290;700290;2024-01-15 19:16:22;Наличными при получении;successful;;10305
1100291;700291;2024-01-15 15:57:27;Рассрочка;refunded;Заказ отменён клиентом после оплаты;76580
1100292;700292;2024-01-15 12:15:14;Банковская карта;successful;;36351
1100293;700293;2024-01-15 15:46:43;Рассрочка;successful;;38340
1100294;700294;2024-01-15 16:20:06;Банковская карта;successful;;22964
1100295;700295;2024-01-15 10:05:35;Наличными при получении;successful;;1014
1100296;700296;2024-01-15 14:57:59;ЮMoney;successful;;3600
1100297;700297;2024-01-15 15:13:04;Банковская карта;successful;;19090
1100298;700298;2024-01-15 13:53:00;Банковская карта;successful;;662
1100299;700299;2024-01-15 15:56:25;Наличными при получении;successful;;35695
1100300;700300;2024-01-15 16:10:40;Банковская карта;successful;;62470
1100301;700301;2024-01-15 15:36:00;Банковская карта;successful;;4986
1100302;700302;2024-01-15 22:10:35;СБП;failed;Пользователь отменил оплату;700
1100303;700303;2024-01-15 13:45:47;Наличными при получении;successful;;28340
1100304;700304;2024-01-15 16:07:22;Банковская карта;successful;;52790
1100305;700305;2024-01-15 15:35:29;Банковская карта;successful;;17428
1100306;700306;2024-01-15 21:31:44;Наличными при получении;successful;;65580
1100307;700307;2024-01-16 11:15:43;Банковская карта;successful;;17091
1100308;700308;2024-01-16 17:40:09;Рассрочка;successful;;56235
1100309;700309;2024-01-16 17:53:52;Банковская карта;successful;;79570
1100310;700310;2024-01-16 16:27:55;Банковская карта;successful;;67091
1100311;700311;2024-01-16 21:40:29;СБП;successful;;41480
1100312;700312;2024-01-16 20:16:49;Банковская карта;successful;;42345
1100313;700313;2024-01-16 09:48:52;Банковская карта;successful;;4981
1100314;700314;2024-01-16 16:38:12;Наличными при получении;successful;;4176
1100315;700315;2024-01-16 18:42:02;СБП;successful;;58767
1100316;700316;2024-01-16 15:12:02;Банковская карта;successful;;4657
1100317;700317;2024-01-16 19:02:52;Наличными при получении;successful;;18980
1100318;700318;2024-01-16 17:01:38;Рассрочка;failed;Отклонено банком;16131
1100319;700319;2024-01-16 12:32:08;Банковская карта;successful;;4756
1100320;700320;2024-01-16 15:14:32;Рассрочка;failed;Ошибка платёжного шлюза;12567
1100321;700321;2024-01-16 15:30:19;СБП;successful;;37980
1100322;700322;2024-01-16 18:59:58;Рассрочка;successful;;17790
1100323;700323;2024-01-16 18:11:55;СБП;successful;;51292
1100324;700324;2024-01-16 11:25:10;Наличными при получении;successful;;116570
1100325;700325;2024-01-16 21:56:26;Банковская карта;failed;Пользователь отменил оплату;19790
1100326;700326;2024-01-17 17:05:33;Наличными при получении;successful;;65580
1100327;700327;2024-01-17 13:49:44;СБП;failed;Недостаточно средств;4190
1100328;700328;2024-01-17 16:55:56;Банковская карта;successful;;54655
1100329;700329;2024-01-17 15:31:08;ЮMoney;successful;;780
1100330;700330;2024-01-17 13:45:57;СБП;successful;;33269
1100331;700331;2024-01-17 18:18:51;Банковская карта;successful;;17428
1100332;700332;2024-01-17 09:39:09;Рассрочка;failed;Ошибка платёжного шлюза;89521
1100333;700333;2024-01-17 12:44:50;СБП;successful;;31842
1100334;700334;2024-01-17 16:40:15;Банковская карта;successful;;2377
1100335;700335;2024-01-17 20:03:37;Банковская карта;successful;;46519
1100336;700336;2024-01-17 19:08:50;Банковская карта;successful;;11880
1100337;700337;2024-01-17 15:43:11;Банковская карта;successful;;3935
1100338;700338;2024-01-17 17:59:55;СБП;successful;;42490
1100339;700339;2024-01-17 19:11:50;Банковская карта;successful;;1790
1100340;700340;2024-01-17 11:09:33;СБП;successful;;4394
1100341;700341;2024-01-17 16:54:04;Рассрочка;failed;Недостаточно средств;136804
1100342;700342;2024-01-17 15:15:59;Рассрочка;successful;;2990
1100343;700343;2024-01-17 09:55:45;Наличными при получении;successful;;6166
1100344;700344;2024-01-17 20:25:43;СБП;successful;;1680
1100345;700345;2024-01-17 19:20:57;СБП;successful;;36566
1100346;700346;2024-01-18 13:45:27;Банковская карта;successful;;1325
1100347;700347;2024-01-18 20:28:17;Наличными при получении;successful;;80789
1100348;700348;2024-01-18 10:48:38;Наличными при получении;successful;;9380
1100349;700349;2024-01-18 11:42:46;Банковская карта;successful;;12940
1100350;700350;2024-01-18 19:26:58;Банковская карта;successful;;2181
1100351;700351;2024-01-18 15:17:41;ЮMoney;successful;;6629
1100352;700352;2024-01-18 21:31:56;СБП;successful;;32090
1100353;700353;2024-01-18 20:09:46;Банковская карта;successful;;28016
1100354;700354;2024-01-18 14:15:08;Банковская карта;successful;;111522
1100355;700355;2024-01-18 20:31:37;Наличными при получении;successful;;18040
1100356;700356;2024-01-18 19:13:43;СБП;failed;Отклонено банком;35796
1100357;700357;2024-01-18 18:22:05;Банковская карта;successful;;35090
1100358;700358;2024-01-18 21:10:19;СБП;successful;;4491
1100359;700359;2024-01-18 20:11:11;СБП;successful;;36300
1100360;700360;2024-01-19 00:00:12;Наличными при получении;successful;;8857
1100361;700361;2024-01-18 18:14:03;Рассрочка;refunded;;2490
1100362;700362;2024-01-18 16:08:12;СБП;successful;;16721
1100363;700363;2024-01-18 12:27:50;Банковская карта;successful;;3970
1100364;700364;2024-01-18 16:38:36;СБП;failed;Отклонено банком;8340
1100365;700365;2024-01-18 16:51:15;Банковская карта;successful;;19790
1100366;700366;2024-01-19 16:55:39;Банковская карта;successful;;6531
1100367;700367;2024-01-19 17:13:32;СБП;successful;;3879
1100368;700368;2024-01-19 22:13:10;Банковская карта;successful;;1118
1100369;700369;2024-01-19 18:14:41;ЮMoney;successful;;11345
1100370;700370;2024-01-19 18:53:35;Рассрочка;successful;;96516
1100371;700371;2024-01-19 13:35:39;Рассрочка;successful;;25957
1100372;700372;2024-01-19 22:13:29;Наличными при получении;successful;;99794
1100373;700373;2024-01-19 23:07:01;СБП;successful;;96791
1100374;700374;2024-01-19 16:45:30;Банковская карта;successful;;18935
1100375;700375;2024-01-19 17:47:18;СБП;successful;;100381
1100376;700376;2024-01-19 22:46:45;Рассрочка;failed;Недостаточно средств;32942
1100377;700377;2024-01-19 17:38:01;Рассрочка;successful;;20034
1100378;700378;2024-01-19 17:58:36;СБП;successful;;30681
1100379;700379;2024-01-19 20:50:21;СБП;successful;;67855
1100380;700380;2024-01-19 15:35:03;Банковская карта;successful;;1567
1100381;700381;2024-01-19 20:25:47;Банковская карта;successful;;33578
1100382;700382;2024-01-19 15:48:35;Банковская карта;successful;;36924
1100383;700383;2024-01-20 11:19:55;Наличными при получении;successful;;14360
1100384;700384;2024-01-20 21:13:29;Банковская карта;successful;;7470
1100385;700385;2024-01-20 21:48:53;Рассрочка;successful;;73777
1100386;700386;2024-01-20 13:00:52;СБП;successful;;29840
1100387;700387;2024-01-20 17:52:48;Рассрочка;successful;;75277
1100388;700388;2024-01-20 17:43:26;Банковская карта;successful;;36286
1100389;700389;2024-01-20 19:19:24;СБП;refunded;;3401
1100390;700390;2024-01-20 11:02:25;Банковская карта;successful;;106200
1100391;700391;2024-01-20 09:37:39;СБП;failed;Недостаточно средств;24480
1100392;700392;2024-01-20 13:30:09;Банковская карта;successful;;1283
1100393;700393;2024-01-20 09:12:47;Банковская карта;successful;;64211
1100394;700394;2024-01-20 22:47:47;СБП;successful;;86080
1100395;700395;2024-01-20 22:12:46;Рассрочка;successful;;72988
1100396;700396;2024-01-20 13:16:48;Наличными при получении;refunded;Заказ отменён клиентом после оплаты;78380
1100397;700397;2024-01-20 14:56:58;СБП;successful;;17661
1100398;700398;2024-01-20 13:39:59;Банковская карта;failed;Недостаточно средств;84430
1100399;700399;2024-01-20 20:20:16;Банковская карта;successful;;4665
1100400;700400;2024-01-20 17:59:49;Рассрочка;successful;;41912
1100401;700401;2024-01-20 20:30:12;СБП;successful;;46165
1100402;700402;2024-01-20 16:14:04;СБП;refunded;Заказ отменён клиентом после оплаты;3935
1100403;700403;2024-01-20 11:23:41;СБП;successful;;6745
