order_id;customer_id;session_id;order_datetime;order_status;delivery_type;delivery_city;gross_amount;discount_amount;delivery_fee;final_amount
700034;;5000368;2024-01-02 13:31:40;returned;Курьер;Самара;4790;0;390;5180
700035;200824;5000374;2024-01-02 16:44:06;completed;Самовывоз;Сургут;22990;690;0;22300
700036;204522;5000382;2024-01-02 16:42:33;completed;СДЭК;Уфа;6790;475;690;7005
700037;202497;5000390;2024-01-02 15:26:33;completed;СДЭК;Уфа;52580;2703;390;50267
700038;205881;5000450;2024-01-02 14:18:21;completed;СДЭК;Златоуст;127567;0;690;128257
700039;;5000480;2024-01-02 22:59:14;completed;СДЭК;Челябинск;25990;0;390;26380
700040;208710;5000481;2024-01-02 09:23:00;completed;Почта России;Санкт-Петербург;12990;0;350;13340
700041;204627;5000482;2024-01-02 15:01:03;completed;Самовывоз;Челябинск;4490;224;0;4266
700042;203832;5000499;2024-01-02 10:09:56;completed;Самовывоз;Тюмень;35374;44;0;35330
700043;;5000537;2024-01-02 23:37:29;completed;СДЭК;Тюмень;50247;4934;590;45903
700044;208368;5000546;2024-01-02 20:36:44;completed;Самовывоз;Уфа;6567;788;0;5779
700045;;5000551;2024-01-02 17:42:59;completed;Курьер;Челябинск;12345;370;0;11975
700046;209529;5000573;2024-01-03 11:52:53;completed;Самовывоз;Ижевск;24090;0;0;24090
700047;203522;5000576;2024-01-03 17:21:16;completed;Курьер;Челябинск;11790;0;0;11790
700048;;5000617;2024-01-03 20:33:30;completed;Курьер;Челябинск;692;48;290;934
700049;206728;5000620;2024-01-03 12:33:09;completed;Курьер;Уфа;903;0;590;1493
700050;202387;5000649;2024-01-03 16:57:36;completed;Почта России;Копейск;690;0;550;1240
700051;;5000652;2024-01-03 18:53:57;returned;Самовывоз;Казань;42567;0;0;42567
700052;203677;5000653;2024-01-03 15:27:41;completed;СДЭК;Магнитогорск;124670;8440;690;116920
700053;207765;5000662;2024-01-03 17:51:16;completed;СДЭК;Челябинск;18790;2255;490;17025
700054;;5000697;2024-01-03 11:52:56;completed;СДЭК;Миасс;6090;426;590;6254
700055;200222;5000737;2024-01-03 14:16:02;completed;Курьер;Москва;126990;0;490;127480
700056;209176;5000741;2024-01-03 17:35:30;completed;СДЭК;Копейск;698;21;490;1167
700057;;5000746;2024-01-03 16:21:50;completed;Самовывоз;Екатеринбург;50090;2504;0;47586
700058;;5000748;2024-01-03 15:59:36;completed;Курьер;Екатеринбург;9135;734;590;8991
700059;209844;5000770;2024-01-03 15:41:50;completed;Самовывоз;Москва;115580;335;0;115245
700060;204857;5000777;2024-01-03 19:20:31;completed;СДЭК;Ижевск;12490;0;390;12880
700061;205648;5000779;2024-01-03 23:30:57;completed;СДЭК;Екатеринбург;18990;0;590;19580
700062;204696;5000798;2024-01-03 20:40:22;completed;Курьер;Москва;1778;89;490;2179
700063;202787;5000800;2024-01-03 18:23:02;completed;СДЭК;Магнитогорск;34345;1717;590;33218
700064;204863;5000828;2024-01-03 18:23:52;completed;СДЭК;Магнитогорск;37580;174;690;38096
700065;204793;5000835;2024-01-03 15:58:59;completed;Курьер;Челябинск;92325;10601;0;81724
700066;;5000841;2024-01-03 14:32:13;completed;Самовывоз;Челябинск;152480;3300;0;149180
700067;205493;5000852;2024-01-04 09:57:32;completed;Самовывоз;Магнитогорск;25477;2513;0;22964
700068;205197;5000862;2024-01-04 17:11:03;completed;Курьер;Миасс;69847;2715;590;67722
700069;204645;5000868;2024-01-04 18:05:25;returned;Почта России;Тюмень;6990;0;550;7540
700070;204808;5000879;2024-01-04 13:27:45;completed;Курьер;Челябинск;101567;10157;0;91410
700071;201313;5000889;2024-01-04 17:47:16;completed;Самовывоз;Челябинск;16912;578;0;16334
700072;202850;5000916;2024-01-04 19:53:46;completed;СДЭК;Челябинск;31090;0;390;31480
700073;200092;5000957;2024-01-04 11:43:36;completed;СДЭК;Москва;1490;45;690;2135
700074;;5000963;2024-01-04 16:11:34;completed;Курьер;Челябинск;19490;2339;0;17151
700075;;5000964;2024-01-04 21:17:02;completed;Курьер;Тюмень;18490;0;490;18980
700076;202207;5000972;2024-01-04 17:02:06;completed;Курьер;Оренбург;36557;299;590;36848
700077;208013;5000977;2024-01-04 11:10:14;completed;Самовывоз;Челябинск;3490;174;0;3316
700078;205501;5000984;2024-01-04 15:49:42;completed;Курьер;Челябинск;21490;1074;0;20416
700079;209730;5001006;2024-01-04 11:04:28;completed;СДЭК;Казань;35790;1790;590;34590
700080;200816;5001012;2024-01-04 17:16:24;completed;Курьер;Самара;37357;0;390;37747
700081;203920;5001027;2024-01-04 14:08:02;completed;Самовывоз;Курган;25345;0;0;25345
700082;205582;5001031;2024-01-04 10:47:50;completed;СДЭК;Уфа;18345;0;590;18935
700083;207027;5001045;2024-01-04 09:52:45;completed;Курьер;Тюмень;19257;2262;590;17585
700084;205226;5001057;2024-01-04 12:07:28;completed;Курьер;Екатеринбург;39490;1185;390;38695
700085;204166;5001065;2024-01-04 17:11:49;cancelled;Курьер;Сургут;7490;0;490;7980
700086;;5001071;2024-01-04 17:24:42;completed;Самовывоз;Челябинск;111790;5590;0;106200
700087;203874;5001113;2024-01-05 15:42:02;completed;Курьер;Пермь;35030;70;390;35350
700088;204925;5001124;2024-01-05 17:18:11;completed;Курьер;Челябинск;13090;0;0;13090
700089;206348;5001142;2024-01-05 20:58:57;completed;Курьер;Москва;109567;10957;390;99000
700090;202425;5001155;2024-01-05 12:20:19;completed;Курьер;Екатеринбург;78090;0;390;78480
700091;205062;5001168;2024-01-05 09:34:55;payment_failed;Курьер;Челябинск;1345;40;290;1595
700092;203297;5001183;2024-01-05 13:43:57;completed;Курьер;Челябинск;73090;0;0;73090
700093;200596;5001189;2024-01-05 23:24:27;completed;Самовывоз;Златоуст;25567;0;0;25567
700094;205557;5001199;2024-01-05 19:58:30;completed;Курьер;Тюмень;40990;4099;490;37381
700095;209143;5001204;2024-01-05 22:25:12;completed;Курьер;Уфа;27090;0;390;27480
700096;203968;5001210;2024-01-05 14:37:01;completed;Курьер;Миасс;27090;0;590;27680
700097;202543;5001227;2024-01-05 16:31:08;completed;Курьер;Тюмень;1990;100;590;2480
700098;204323;5001228;2024-01-05 08:45:42;completed;СДЭК;Копейск;16357;1316;390;15431
700099;201285;5001255;2024-01-05 18:42:58;payment_failed;Самовывоз;Челябинск;28090;2809;0;25281
700100;;5001277;2024-01-05 17:16:36;completed;Самовывоз;Магнитогорск;44990;0;0;44990
700101;;5001280;2024-01-05 18:08:14;completed;Самовывоз;Магнитогорск;43345;4334;0;39011
700102;205774;5001287;2024-01-05 14:47:33;completed;Самовывоз;Нижневартовск;50790;5079;0;45711
700103;;5001325;2024-01-05 17:32:15;completed;Самовывоз;Миасс;67990;0;0;67990
700104;;5001340;2024-01-05 19:16:15;completed;Курьер;Копейск;21990;1100;490;21380
700105;209778;5001392;2024-01-06 13:47:19;completed;Курьер;Челябинск;7435;0;0;7435
700106;;5001395;2024-01-06 21:28:28;payment_failed;Курьер;Челябинск;2090;0;290;2380
700107;208322;5001423;2024-01-06 18:58:28;completed;Самовывоз;Миасс;7790;234;0;7556
700108;;5001430;2024-01-06 18:52:38;completed;Курьер;Челябинск;32345;970;0;31375
700109;202448;5001436;2024-01-06 16:26:24;completed;Самовывоз;Челябинск;19990;0;0;19990
700110;205477;5001453;2024-01-06 09:42:17;completed;Курьер;Копейск;27990;1959;490;26521
700111;206234;5001462;2024-01-06 20:26:53;completed;СДЭК;Тюмень;899;63;690;1526
700112;201966;5001493;2024-01-06 16:40:38;completed;Курьер;Челябинск;84490;0;0;84490
700113;202915;5001506;2024-01-06 15:08:19;completed;СДЭК;Москва;102224;1370;690;101544
700114;207244;5001535;2024-01-06 17:34:45;completed;Курьер;Москва;106257;701;590;106146
700115;;5001572;2024-01-06 16:21:30;completed;СДЭК;Челябинск;4990;0;490;5480
700116;;5001580;2024-01-06 21:52:58;completed;СДЭК;Копейск;76990;0;490;77480
700117;204577;5001584;2024-01-06 12:41:43;returned;Самовывоз;Челябинск;1090;0;0;1090
700118;202136;5001588;2024-01-06 17:30:10;completed;СДЭК;Челябинск;4490;135;390;4745
700119;;5001604;2024-01-06 16:32:48;completed;Самовывоз;Копейск;7090;354;0;6736
700120;203472;5001605;2024-01-06 22:43:50;completed;Курьер;Сургут;21567;2157;390;19800
700121;202857;5001624;2024-01-06 10:55:21;completed;Почта России;Ижевск;62134;2327;550;60357
700122;;5001626;2024-01-06 17:13:51;completed;Курьер;Челябинск;67790;6779;0;61011
700123;206235;5001637;2024-01-06 12:27:15;completed;СДЭК;Казань;74790;0;390;75180
700124;206117;5001682;2024-01-06 19:04:46;completed;Почта России;Челябинск;31435;0;450;31885
700125;208041;5001700;2024-01-06 17:22:04;payment_failed;Самовывоз;Магнитогорск;26134;0;0;26134
700126;208849;5001704;2024-01-07 08:31:55;completed;Почта России;Уфа;789;0;350;1139
700127;202045;5001715;2024-01-07 17:10:45;completed;Почта России;Челябинск;798;80;450;1168
700128;202269;5001722;2024-01-07 09:50:36;completed;Почта России;Санкт-Петербург;23790;1190;450;23050
700129;;5001734;2024-01-07 19:01:41;completed;Курьер;Челябинск;19567;0;0;19567
700130;209138;5001739;2024-01-07 11:24:16;payment_failed;Самовывоз;Екатеринбург;569;0;0;569
700131;205022;5001745;2024-01-07 18:42:58;completed;Курьер;Челябинск;1345;134;290;1501
700132;203898;5001750;2024-01-07 18:24:35;completed;Курьер;Екатеринбург;1790;125;390;2055
700133;208252;5001765;2024-01-07 20:43:10;completed;СДЭК;Челябинск;39345;3934;390;35801
700134;206467;5001783;2024-01-07 20:39:32;completed;СДЭК;Челябинск;40567;1217;490;39840
700135;202897;5001797;2024-01-07 08:30:09;completed;СДЭК;Копейск;21280;45;490;21725
700136;;5001805;2024-01-07 17:40:06;completed;Курьер;Ижевск;12790;0;590;13380
700137;207891;5001809;2024-01-07 22:21:29;completed;Самовывоз;Уфа;108490;0;0;108490
700138;201459;5001817;2024-01-07 20:36:05;completed;Самовывоз;Казань;75580;7403;0;68177
700139;;5001818;2024-01-07 18:47:22;completed;Курьер;Курган;23090;0;390;23480
700140;205570;5001825;2024-01-07 17:12:41;completed;СДЭК;Магнитогорск;19490;0;390;19880
700141;206981;5001826;2024-01-07 18:31:23;completed;Самовывоз;Челябинск;25790;0;0;25790
700142;208687;5001839;2024-01-07 18:34:26;completed;Курьер;Курган;19345;0;390;19735
700143;200550;5001849;2024-01-07 23:03:48;payment_failed;СДЭК;Москва;39345;0;690;40035
700144;209623;5001850;2024-01-07 13:42:30;completed;Курьер;Ижевск;8567;0;590;9157
700145;207555;5001856;2024-01-07 12:24:15;completed;СДЭК;Челябинск;1090;33;490;1547
700146;205588;5001869;2024-01-07 15:35:19;completed;Почта России;Тюмень;19990;0;450;20440
700147;204671;5001874;2024-01-07 21:06:01;completed;СДЭК;Пермь;27090;0;390;27480
700148;206472;5001892;2024-01-07 20:21:42;completed;Самовывоз;Челябинск;28990;0;0;28990
700149;204178;5001914;2024-01-07 19:27:53;cancelled;СДЭК;Сургут;27990;0;690;28680
700150;201300;5001928;2024-01-07 13:44:32;returned;СДЭК;Челябинск;17460;195;390;17655
700151;201851;5001940;2024-01-07 20:56:16;completed;Курьер;Челябинск;2345;0;290;2635
700152;;5001975;2024-01-07 14:24:14;completed;Самовывоз;Челябинск;22357;114;0;22243
700153;209671;5001998;2024-01-08 15:45:50;completed;СДЭК;Курган;89567;0;590;90157
700154;204415;5002033;2024-01-08 15:24:50;completed;Самовывоз;Курган;790;79;0;711
700155;207709;5002040;2024-01-08 10:24:43;completed;Самовывоз;Оренбург;49567;0;0;49567
700156;205785;5002051;2024-01-08 15:28:44;completed;Самовывоз;Златоуст;78990;2370;0;76620
700157;201762;5002054;2024-01-08 20:38:17;completed;Самовывоз;Магнитогорск;110567;13268;0;97299
700158;209439;5002057;2024-01-08 18:47:55;completed;СДЭК;Миасс;1090;0;390;1480
700159;201175;5002086;2024-01-08 17:35:51;completed;Почта России;Челябинск;28567;0;350;28917
700160;205376;5002092;2024-01-08 15:38:35;cancelled;Самовывоз;Челябинск;8357;250;0;8107
700161;205853;5002096;2024-01-08 16:56:59;completed;Курьер;Екатеринбург;29580;0;590;30170
700162;200190;5002123;2024-01-08 18:52:02;completed;Курьер;Уфа;1790;54;390;2126
700163;200850;5002135;2024-01-08 19:45:59;completed;Курьер;Миасс;7345;367;590;7568
700164;207471;5002145;2024-01-08 12:18:37;completed;Самовывоз;Челябинск;50790;0;0;50790
700165;208237;5002149;2024-01-08 21:07:19;completed;Самовывоз;Челябинск;111790;0;0;111790
700166;207822;5002150;2024-01-08 18:13:43;completed;Самовывоз;Златоуст;74773;7443;0;67330
700167;202490;5002155;2024-01-08 19:23:55;payment_failed;Курьер;Магнитогорск;37090;1854;590;35826
700168;208546;5002169;2024-01-08 19:31:39;cancelled;Самовывоз;Челябинск;27345;0;0;27345
700169;;5002175;2024-01-08 19:49:24;returned;Курьер;Челябинск;9490;285;0;9205
700170;205977;5002214;2024-01-08 18:21:26;completed;Курьер;Челябинск;56567;2828;0;53739
700171;204686;5002228;2024-01-08 17:53:31;completed;Курьер;Копейск;37990;0;490;38480
700172;204130;5002246;2024-01-09 17:19:55;completed;СДЭК;Екатеринбург;24790;0;390;25180
700173;201425;5002256;2024-01-09 17:52:32;completed;Самовывоз;Самара;24567;1228;0;23339
700174;200014;5002308;2024-01-09 16:16:08;completed;Курьер;Челябинск;82567;0;0;82567
700175;205376;5002309;2024-01-09 14:30:13;completed;Самовывоз;Челябинск;3990;0;0;3990
700176;202517;5002313;2024-01-09 11:40:28;completed;СДЭК;Челябинск;96557;5057;390;91890
700177;;5002323;2024-01-09 16:29:06;completed;СДЭК;Копейск;59912;217;390;60085
700178;205244;5002353;2024-01-09 15:59:20;completed;СДЭК;Сургут;43790;0;390;44180
700179;203347;5002361;2024-01-09 22:53:13;completed;СДЭК;Челябинск;37490;0;490;37980
700180;209772;5002370;2024-01-09 16:00:14;returned;СДЭК;Уфа;99490;0;390;99880
700181;202424;5002377;2024-01-09 11:34:01;completed;СДЭК;Оренбург;2567;257;490;2800
700182;204120;5002378;2024-01-09 15:13:03;completed;Самовывоз;Тюмень;36657;0;0;36657
700183;208520;5002387;2024-01-09 18:44:38;payment_failed;Самовывоз;Казань;2567;0;0;2567
700184;204557;5002399;2024-01-09 13:36:01;payment_failed;Курьер;Казань;129970;7294;490;123166
700185;;5002410;2024-01-09 11:21:28;completed;Курьер;Златоуст;686;21;490;1155
700186;;5002420;2024-01-09 20:52:09;completed;Самовывоз;Екатеринбург;18090;904;0;17186
700187;204776;5002431;2024-01-09 15:12:44;completed;Почта России;Златоуст;65435;1023;350;64762
700188;203393;5002446;2024-01-09 16:29:30;completed;Самовывоз;Екатеринбург;1345;0;0;1345
700189;207976;5002456;2024-01-09 18:03:22;completed;Самовывоз;Курган;109090;0;0;109090
700190;209691;5002474;2024-01-09 16:12:26;completed;Курьер;Челябинск;35490;0;0;35490
700191;204429;5002495;2024-01-09 19:59:34;completed;СДЭК;Златоуст;20345;0;690;21035
700192;200449;5002532;2024-01-10 09:46:23;completed;СДЭК;Челябинск;45835;974;590;45451
700193;204950;5002546;2024-01-10 19:12:04;completed;Курьер;Челябинск;67345;0;0;67345
700194;204185;5002548;2024-01-10 22:12:25;completed;Самовывоз;Пермь;10090;0;0;10090
700195;201814;5002595;2024-01-10 13:16:58;completed;Самовывоз;Москва;19567;1370;0;18197
700196;206629;5002605;2024-01-10 15:38:53;completed;Курьер;Челябинск;24490;1714;0;22776
700197;;5002613;2024-01-10 20:05:49;completed;Курьер;Челябинск;110345;3310;0;107035
700198;;5002620;2024-01-10 09:42:08;completed;Самовывоз;Новосибирск;23090;2309;0;20781
700199;;5002628;2024-01-10 08:01:59;completed;СДЭК;Уфа;700;21;590;1269
700200;205501;5002634;2024-01-10 14:58:00;completed;СДЭК;Челябинск;18490;1849;390;17031
700201;209865;5002687;2024-01-10 19:57:23;completed;Курьер;Челябинск;1490;0;290;1780
700202;204949;5002726;2024-01-10 19:55:18;completed;Курьер;Екатеринбург;97479;294;390;97575
700203;204132;5002735;2024-01-10 23:11:46;completed;Курьер;Миасс;37134;928;490;36696
700204;205166;5002745;2024-01-10 08:09:37;completed;Почта России;Казань;1345;134;450;1661
700205;;5002756;2024-01-10 16:31:20;completed;СДЭК;Пермь;683;82;390;991
700206;200897;5002760;2024-01-10 15:29:58;completed;СДЭК;Челябинск;60670;0;390;61060
700207;205934;5002768;2024-01-10 23:06:48;completed;СДЭК;Курган;48080;1109;390;47361
700208;204524;5002775;2024-01-10 16:44:23;completed;Самовывоз;Копейск;67490;0;0;67490
700209;200189;5002843;2024-01-11 14:31:39;completed;Самовывоз;Уфа;76990;2310;0;74680
700210;206753;5002845;2024-01-11 09:21:26;completed;СДЭК;Челябинск;8357;78;690;8969
700211;206060;5002860;2024-01-11 16:08:25;completed;Почта России;Златоуст;26490;2649;450;24291
700212;;5002866;2024-01-11 20:38:29;completed;Самовывоз;Сургут;73135;0;0;73135
700213;;5002878;2024-01-11 17:27:47;completed;Почта России;Москва;566;68;350;848
700214;202336;5002882;2024-01-11 19:22:04;completed;Самовывоз;Миасс;39090;4691;0;34399
700215;204524;5002884;2024-01-11 16:51:51;completed;Курьер;Копейск;3567;0;590;4157
700216;204272;5002886;2024-01-11 22:40:32;returned;СДЭК;Курган;882;0;690;1572
700217;205925;5002905;2024-01-11 20:27:51;completed;Самовывоз;Пермь;7567;0;0;7567
700218;203270;5002909;2024-01-11 21:48:31;completed;СДЭК;Челябинск;49490;1485;590;48595
700219;200171;5002912;2024-01-11 11:37:04;completed;Самовывоз;Челябинск;21490;0;0;21490
700220;200949;5002916;2024-01-11 15:23:21;completed;Самовывоз;Магнитогорск;31567;1578;0;29989
700221;200576;5002946;2024-01-11 10:07:09;completed;Курьер;Новосибирск;19090;2291;390;17189
700222;206142;5002966;2024-01-11 15:53:18;completed;СДЭК;Екатеринбург;12920;370;690;13240
700223;205426;5002977;2024-01-11 15:51:31;completed;СДЭК;Копейск;3990;479;590;4101
700224;203161;5003010;2024-01-11 15:45:42;completed;Самовывоз;Магнитогорск;21880;0;0;21880
700225;;5003029;2024-01-12 09:34:21;completed;Курьер;Пермь;23345;0;490;23835
700226;207020;5003036;2024-01-12 22:35:57;cancelled;Курьер;Челябинск;45357;1879;0;43478
700227;203349;5003041;2024-01-12 23:42:12;returned;Курьер;Челябинск;14790;1775;0;13015
700228;200144;5003080;2024-01-12 17:54:36;completed;Курьер;Нижневартовск;8657;709;490;8438
700229;;5003103;2024-01-12 16:51:36;completed;СДЭК;Челябинск;6090;0;390;6480
700230;203073;5003121;2024-01-12 19:42:23;completed;Самовывоз;Ижевск;4237;401;0;3836
700231;201560;5003128;2024-01-12 21:21:24;completed;СДЭК;Пермь;1090;0;490;1580
700232;204047;5003155;2024-01-12 22:03:36;completed;Самовывоз;Москва;697;0;0;697
700233;204905;5003160;2024-01-12 15:21:52;completed;Самовывоз;Москва;572;29;0;543
700234;;5003165;2024-01-12 15:48:06;completed;Курьер;Челябинск;2345;117;290;2518
700235;200165;5003176;2024-01-12 12:48:43;payment_failed;Самовывоз;Челябинск;6490;324;0;6166
700236;206602;5003179;2024-01-12 16:07:56;completed;Курьер;Уфа;2580;0;390;2970
700237;201361;5003180;2024-01-12 16:01:24;completed;Курьер;Миасс;27090;0;590;27680
700238;;5003241;2024-01-12 13:59:23;completed;СДЭК;Пермь;38790;0;490;39280
700239;206279;5003261;2024-01-12 14:22:46;completed;Курьер;Челябинск;72345;2170;0;70175
700240;;5003262;2024-01-12 21:16:54;completed;Курьер;Челябинск;6884;0;0;6884
700241;208262;5003273;2024-01-12 17:27:12;completed;СДЭК;Екатеринбург;25567;767;690;25490
700242;201362;5003296;2024-01-12 17:41:29;payment_failed;Курьер;Уфа;7567;0;490;8057
700243;;5003310;2024-01-12 22:43:16;completed;СДЭК;Челябинск;72490;3624;390;69256
700244;;5003313;2024-01-12 21:54:38;completed;СДЭК;Пермь;24990;0;490;25480
700245;206602;5003319;2024-01-13 15:42:02;completed;Курьер;Уфа;78990;5529;490;73951
700246;202803;5003331;2024-01-13 16:33:50;completed;Курьер;Златоуст;3990;279;490;4201
700247;204758;5003342;2024-01-13 14:04:47;completed;Самовывоз;Магнитогорск;14790;444;0;14346
700248;201338;5003343;2024-01-13 20:46:55;cancelled;Курьер;Челябинск;35790;0;0;35790
700249;209206;5003344;2024-01-13 15:33:17;returned;Почта России;Миасс;10045;934;550;9661
700250;203177;5003347;2024-01-13 21:34:07;completed;Курьер;Сургут;101490;5074;490;96906
700251;205708;5003353;2024-01-13 13:27:21;completed;Курьер;Челябинск;99790;0;0;99790
700252;201316;5003357;2024-01-13 23:28:43;payment_failed;Самовывоз;Казань;877;0;0;877
700253;203954;5003371;2024-01-13 17:06:18;completed;Почта России;Пермь;85345;0;350;85695
700254;208948;5003402;2024-01-13 20:38:31;completed;Курьер;Челябинск;110790;5540;0;105250
700255;202363;5003409;2024-01-13 20:56:05;completed;Самовывоз;Челябинск;41357;2068;0;39289
700256;;5003411;2024-01-13 16:36:38;completed;Самовывоз;Пермь;1567;110;0;1457
700257;206881;5003426;2024-01-13 11:08:13;completed;Курьер;Челябинск;111790;0;0;111790
700258;;5003428;2024-01-13 16:25:01;payment_failed;Самовывоз;Москва;35567;1067;0;34500
700259;205784;5003430;2024-01-13 09:47:02;cancelled;Курьер;Челябинск;3990;479;290;3801
700260;202376;5003439;2024-01-13 20:07:44;payment_failed;Курьер;Уфа;3990;120;590;4460
700261;202875;5003451;2024-01-13 21:33:35;completed;Самовывоз;Тюмень;27990;0;0;27990
700262;202208;5003474;2024-01-13 15:11:57;completed;Курьер;Челябинск;49790;4979;0;44811
700263;202060;5003479;2024-01-13 15:08:53;completed;СДЭК;Челябинск;7345;734;690;7301
700264;208181;5003486;2024-01-13 20:01:18;completed;Курьер;Тюмень;9057;47;390;9400
700265;200371;5003497;2024-01-13 15:05:10;completed;Курьер;Миасс;23280;335;390;23335
700266;206609;5003527;2024-01-13 20:34:15;completed;СДЭК;Челябинск;19790;1385;490;18895
700267;200343;5003542;2024-01-13 15:04:55;completed;Курьер;Челябинск;18990;0;0;18990
700268;200993;5003572;2024-01-13 21:02:14;completed;СДЭК;Магнитогорск;25567;767;690;25490
700269;203778;5003581;2024-01-13 11:12:53;completed;СДЭК;Челябинск;4345;0;390;4735
700270;;5003582;2024-01-13 21:06:13;completed;Курьер;Пермь;42570;2455;390;40505
700271;200358;5003604;2024-01-14 18:33:08;completed;Самовывоз;Магнитогорск;898;45;0;853
700272;;5003617;2024-01-14 17:50:40;completed;СДЭК;Челябинск;8567;0;590;9157
700273;206991;5003618;2024-01-14 19:28:10;completed;Курьер;Челябинск;25567;1278;0;24289
700274;206408;5003623;2024-01-14 21:55:16;completed;Курьер;Златоуст;50567;0;390;50957
700275;200537;5003676;2024-01-14 12:39:53;completed;СДЭК;Челябинск;114134;5798;490;108826
700276;208748;5003677;2024-01-14 16:57:24;completed;Самовывоз;Копейск;10090;0;0;10090
700277;206660;5003680;2024-01-14 11:52:20;completed;Самовывоз;Самара;27990;2799;0;25191
700278;;5003687;2024-01-14 19:25:11;completed;Курьер;Екатеринбург;32480;250;590;32820
700279;203778;5003694;2024-01-14 18:02:42;completed;Самовывоз;Челябинск;26176;69;0;26107
700280;207210;5003726;2024-01-14 16:59:23;completed;Самовывоз;Ижевск;8790;0;0;8790
700281;208541;5003730;2024-01-14 19:50:17;payment_failed;Самовывоз;Челябинск;27090;1354;0;25736
700282;205002;5003732;2024-01-14 14:13:52;completed;Самовывоз;Москва;68357;0;0;68357
700283;200607;5003737;2024-01-14 13:53:14;completed;Курьер;Миасс;27490;1374;390;26506
700284;;5003749;2024-01-14 21:56:24;completed;Курьер;Златоуст;49567;0;390;49957
700285;;5003762;2024-01-14 17:11:19;completed;СДЭК;Миасс;29135;0;390;29525
700286;206187;5003780;2024-01-14 16:28:53;completed;Курьер;Челябинск;23345;0;0;23345
700287;205270;5003793;2024-01-14 19:07:30;payment_failed;Курьер;Москва;3345;334;590;3601
700288;203397;5003848;2024-01-14 16:53:30;completed;СДЭК;Магнитогорск;35090;2456;390;33024
700289;202051;5003864;2024-01-14 15:22:31;completed;Почта России;Уфа;42090;1263;350;41177
700290;200604;5003908;2024-01-15 19:12:22;completed;СДЭК;Москва;10135;220;390;10305
700291;201610;5003919;2024-01-15 15:52:27;cancelled;Курьер;Курган;75990;0;590;76580
