session_id;session_start;customer_id;city;device_type;channel;campaign_id;landing_category;product_views;add_to_cart;checkout_started;order_id;purchase_completed
5000036;2024-01-01 13:45:55;205913;Челябинск;mobile;VK Ads;VK_RETARGET;Аксессуары;3;0;0;;0
5000037;2024-01-01 20:32:07;203607;Москва;desktop;Telegram;TG_LOCAL;Аксессуары;4;0;0;;0
5000038;2024-01-01 11:37:24;;Челябинск;mobile;Direct;;Компьютеры и планшеты;1;0;0;;0
5000039;2024-01-01 15:54:06;200158;Курган;mobile;Organic;;Аудиотехника;5;0;0;;0
5000040;2024-01-01 19:24:42;;Курган;mobile;Organic;;Смартфоны;4;0;0;;0
5000041;2024-01-01 17:10:56;;Магнитогорск;desktop;Telegram;TG_LOCAL;Товары для дома и офиса;5;0;0;;0
5000042;2024-01-01 17:29:37;202818;Миасс;desktop;Yandex Ads;YA_GENERIC;Компьютеры и планшеты;3;1;0;;0
5000043;2024-01-01 22:46:04;207466;Челябинск;desktop;Direct;;Аксессуары;2;0;0;;0
5000044;2024-01-01 21:18:23;204250;Екатеринбург;mobile;Referral;;Смартфоны;2;0;0;;0
5000045;2024-01-01 16:48:37;204169;Челябинск;mobile;Email;;Компьютеры и планшеты;6;0;0;;0
5000046;2024-01-01 17:20:07;206663;Новосибирск;mobile;Email;;Товары для дома и офиса;3;0;0;;0
5000047;2024-01-01 18:41:15;208535;Копейск;mobile;Yandex Ads;YA_BRAND;Аксессуары;4;0;0;;0
5000048;2024-01-01 10:46:55;207690;Санкт-Петербург;desktop;VK Ads;VK_RETARGET;Аудиотехника;6;1;1;700005;1
5000049;2024-01-01 21:30:21;205394;Челябинск;mobile;VK Ads;VK_RETARGET;Смарт-часы и браслеты;3;0;0;;0
5000050;2024-01-01 12:21:28;209141;Копейск;mobile;VK Ads;VK_RETARGET;Смартфоны;3;0;0;;0
5000051;2024-01-01 17:52:27;203129;Уфа;mobile;Yandex Ads;YA_BRAND;Товары для дома и офиса;3;0;0;;0
5000052;2024-01-01 15:54:48;205755;Челябинск;desktop;Organic;;Аудиотехника;1;0;0;;0
5000053;2024-01-01 15:02:22;201919;Пермь;mobile;Telegram;TG_LOCAL;Аудиотехника;3;0;0;;0
5000054;2024-01-01 20:32:33;202556;Златоуст;desktop;Direct;;Аксессуары;6;0;0;;0
5000055;2024-01-01 21:55:12;;Курган;desktop;Email;;Аксессуары;5;0;0;;0
5000056;2024-01-01 13:46:14;208900;Челябинск;desktop;Email;;Товары для дома и офиса;7;0;0;;0
5000057;2024-01-01 19:32:35;205386;Челябинск;mobile;Organic;;Смартфоны;6;1;0;;0
5000058;2024-01-01 16:49:24;205443;Магнитогорск;desktop;VK Ads;VK_RETARGET;Смарт-часы и браслеты;3;0;0;;0
5000059;2024-01-01 23:54:39;207901;Миасс;mobile;Yandex Ads;YA_GENERIC;Телевизоры и игровые приставки;3;1;1;700006;0
5000060;2024-01-01 11:15:45;204516;Ижевск;desktop;VK Ads;VK_RETARGET;Смарт-часы и браслеты;1;0;0;;0
5000061;2024-01-01 15:05:03;205413;Челябинск;desktop;Direct;;Товары для дома и офиса;5;1;1;700007;1
5000062;2024-01-01 10:41:25;;Челябинск;mobile;Direct;;Товары для дома и офиса;2;0;0;;0
5000063;2024-01-01 16:40:56;205012;Пермь;mobile;VK Ads;VK_RETARGET;Аудиотехника;7;0;0;;0
5000064;2024-01-01 16:25:46;209249;Самара;desktop;Organic;;Аудиотехника;5;0;0;;0
5000065;2024-01-01 21:07:35;;Челябинск;mobile;VK Ads;VK_RETARGET;Аксессуары;5;0;0;;0
5000066;2024-01-01 12:43:30;200954;Челябинск;tablet;Organic;;Аудиотехника;6;0;0;;0
5000067;2024-01-01 21:57:41;201352;Уфа;mobile;Direct;;Смарт-часы и браслеты;1;1;1;700008;0
5000068;2024-01-01 13:42:09;202180;Ижевск;desktop;Direct;;Телевизоры и игровые приставки;2;0;0;;0
5000069;2024-01-01 11:15:17;207473;Челябинск;desktop;Organic;;Аудиотехника;5;0;0;;0
5000070;2024-01-01 11:39:11;207585;Казань;desktop;Yandex Ads;YA_BRAND;Аксессуары;2;0;0;;0
5000071;2024-01-01 20:18:40;206844;Златоуст;mobile;Organic;;Аудиотехника;2;0;0;;0
5000072;2024-01-01 19:48:44;201880;Челябинск;mobile;Referral;;Компьютеры и планшеты;4;0;0;;0
5000073;2024-01-01 11:29:26;200805;Казань;mobile;Yandex Ads;YA_BRAND;Смарт-часы и браслеты;6;0;0;;0
5000074;2024-01-01 19:08:17;202590;Уфа;mobile;Yandex Ads;YA_GENERIC;Смартфоны;6;0;0;;0
5000075;2024-01-01 12:15:19;202830;Уфа;desktop;Telegram;TG_LOCAL;Аксессуары;3;0;0;;0
5000076;2024-01-01 19:20:55;;Курган;mobile;Referral;;Компьютеры и планшеты;7;0;0;;0
5000077;2024-01-01 22:40:03;201560;Пермь;mobile;Organic;;Товары для дома и офиса;3;1;1;700009;1
5000078;2024-01-01 12:21:15;204669;Магнитогорск;tablet;Organic;;Аудиотехника;7;0;0;;0
5000079;2024-01-01 21:30:34;207744;Копейск;mobile;Direct;;Смарт-часы и браслеты;4;0;0;;0
5000080;2024-01-01 17:29:44;200047;Магнитогорск;desktop;Telegram;TG_LOCAL;Товары для дома и офиса;7;0;0;;0
5000081;2024-01-01 15:54:41;201114;Москва;desktop;VK Ads;VK_RETARGET;Смартфоны;2;0;0;;0
5000082;2024-01-01 22:42:54;208280;Челябинск;mobile;Yandex Ads;YA_GENERIC;Компьютеры и планшеты;4;0;0;;0
5000083;2024-01-01 18:19:34;202987;Копейск;desktop;Direct;;Аксессуары;1;0;0;;0
5000084;2024-01-01 15:47:12;200052;Тюмень;mobile;Organic;;Аудиотехника;3;0;0;;0
5000085;2024-01-01 15:37:31;206479;Курган;mobile;Yandex Ads;YA_GENERIC;Аксессуары;1;1;1;700010;1
5000086;2024-01-01 16:06:00;;Челябинск;mobile;Organic;;Смарт-часы и браслеты;5;0;0;;0
5000087;2024-01-01 17:58:47;206617;Курган;mobile;Yandex Ads;YA_BRAND;Смартфоны;5;0;0;;0
5000088;2024-01-01 20:02:51;201424;Челябинск;mobile;Direct;;Аксессуары;5;0;0;;0
5000089;2024-01-01 19:54:49;206728;Уфа;desktop;Telegram;TG_LOCAL;Смартфоны;1;0;0;;0
5000090;2024-01-01 13:46:47;201829;Челябинск;mobile;VK Ads;VK_RETARGET;Аксессуары;3;0;0;;0
5000091;2024-01-01 13:07:05;201096;Ижевск;mobile;Organic;;Смарт-часы и браслеты;2;0;0;;0
5000092;2024-01-01 14:10:54;;Копейск;desktop;Organic;;Аксессуары;2;0;0;;0
5000093;2024-01-01 22:36:40;200967;Златоуст;desktop;Direct;;Аудиотехника;1;0;0;;0
5000094;2024-01-01 14:59:50;;Пермь;mobile;Telegram;TG_LOCAL;Товары для дома и офиса;4;0;0;;0
5000095;2024-01-01 19:57:44;209100;Челябинск;mobile;Organic;;Телевизоры и игровые приставки;5;0;0;;0
5000096;2024-01-01 19:43:29;200220;Самара;tablet;Organic;;Смартфоны;2;0;0;;0
5000097;2024-01-01 12:02:36;209510;Нижневартовск;mobile;Organic;;Смартфоны;5;0;0;;0
5000098;2024-01-01 23:07:15;205384;Самара;mobile;Direct;;Телевизоры и игровые приставки;2;0;0;;0
5000099;2024-01-01 17:21:44;200940;Челябинск;desktop;Organic;;Аксессуары;1;0;0;;0
5000100;2024-01-01 08:46:42;;Магнитогорск;mobile;Yandex Ads;YA_GENERIC;Телевизоры и игровые приставки;3;0;0;;0
5000101;2024-01-01 21:24:00;209202;Самара;desktop;Organic;;Смартфоны;3;0;0;;0
5000102;2024-01-01 15:14:20;;Челябинск;desktop;Organic;;Аксессуары;6;0;0;;0
5000103;2024-01-01 15:53:12;204790;Москва;desktop;Organic;;Аудиотехника;4;0;0;;0
5000104;2024-01-01 16:39:10;202406;Челябинск;mobile;Organic;;Компьютеры и планшеты;2;1;0;;0
5000105;2024-01-01 11:56:13;204618;Челябинск;mobile;Yandex Ads;YA_GENERIC;Смартфоны;1;0;0;;0
5000106;2024-01-01 21:43:20;;Курган;mobile;Yandex Ads;YA_GENERIC;Смартфоны;2;0;0;;0
5000107;2024-01-01 19:26:54;200787;Уфа;desktop;Organic;;Аудиотехника;9;0;0;;0
5000108;2024-01-01 18:08:22;;Челябинск;mobile;Yandex Ads;YA_BRAND;Аксессуары;1;0;0;;0
5000109;2024-01-01 15:43:20;;Москва;mobile;VK Ads;VK_RETARGET;Компьютеры и планшеты;2;0;0;;0
5000110;2024-01-01 17:20:44;;Миасс;mobile;VK Ads;VK_RETARGET;Товары для дома и офиса;3;0;0;;0
5000111;2024-01-01 21:26:52;204643;Челябинск;mobile;Organic;;Аксессуары;6;0;0;;0
5000112;2024-01-01 15:38:29;200714;Челябинск;mobile;VK Ads;VK_RETARGET;Аудиотехника;2;0;0;;0
5000113;2024-01-01 12:50:19;208697;Копейск;mobile;Direct;;Аудиотехника;3;1;0;;0
5000114;2024-01-01 12:08:53;208041;Магнитогорск;mobile;Yandex Ads;YA_BRAND;Смартфоны;6;0;0;;0
5000115;2024-01-01 16:02:37;207890;Оренбург;mobile;Organic;;Аксессуары;6;0;0;;0
5000116;2024-01-01 22:47:07;203113;Челябинск;tablet;Telegram;TG_LOCAL;Телевизоры и игровые приставки;7;0;0;;0
5000117;2024-01-01 19:20:51;;Екатеринбург;desktop;Yandex Ads;YA_GENERIC;Аксессуары;6;1;1;700011;1
5000118;2024-01-01 22:14:12;;Миасс;mobile;Organic;;Аудиотехника;2;0;0;;0
5000119;2024-01-01 16:25:27;201106;Москва;mobile;Telegram;TG_LOCAL;Аудиотехника;4;0;0;;0
5000120;2024-01-01 12:47:17;205905;Пермь;mobile;VK Ads;VK_RETARGET;Компьютеры и планшеты;6;0;0;;0
5000121;2024-01-01 14:08:27;206847;Самара;tablet;VK Ads;VK_RETARGET;Смартфоны;3;0;0;;0
5000122;2024-01-01 11:11:06;;Копейск;desktop;Referral;;Товары для дома и офиса;4;0;0;;0
5000123;2024-01-01 19:03:19;206882;Москва;mobile;Direct;;Аудиотехника;8;0;0;;0
5000124;2024-01-01 15:32:12;209783;Уфа;mobile;Organic;;Товары для дома и офиса;7;0;0;;0
5000125;2024-01-01 13:42:07;200628;Челябинск;mobile;Yandex Ads;YA_BRAND;Товары для дома и офиса;5;0;0;;0
5000126;2024-01-01 11:06:55;201649;Москва;desktop;Direct;;Смартфоны;4;0;0;;0
5000127;2024-01-01 14:31:49;206424;Челябинск;mobile;Organic;;Смартфоны;2;0;0;;0
5000128;2024-01-01 09:40:24;202859;Челябинск;mobile;Direct;;Компьютеры и планшеты;6;0;0;;0
5000129;2024-01-01 11:56:19;;Челябинск;mobile;Organic;;Компьютеры и планшеты;6;0;0;;0
5000130;2024-01-01 21:43:09;;Челябинск;desktop;VK Ads;VK_RETARGET;Смартфоны;3;0;0;;0
5000131;2024-01-01 17:21:08;207401;Челябинск;mobile;VK Ads;VK_RETARGET;Аксессуары;5;0;0;;0
5000132;2024-01-01 08:59:23;207636;Челябинск;mobile;Referral;;Аксессуары;3;0;0;;0
5000133;2024-01-01 17:23:39;209133;Миасс;tablet;Direct;;Аксессуары;6;0;0;;0
5000134;2024-01-01 17:27:03;209545;Челябинск;mobile;Organic;;Аксессуары;2;0;0;;0
5000135;2024-01-01 09:08:25;209292;Челябинск;tablet;Organic;;Смартфоны;2;0;0;;0
5000136;2024-01-01 18:26:32;202143;Челябинск;mobile;Yandex Ads;YA_GENERIC;Телевизоры и игровые приставки;5;0;0;;0
5000137;2024-01-01 17:30:23;202314;Уфа;mobile;Organic;;Аудиотехника;2;0;0;;0
5000138;2024-01-01 15:42:41;206829;Челябинск;mobile;Yandex Ads;YA_GENERIC;Смартфоны;3;0;0;;0
5000139;2024-01-01 22:38:15;200247;Казань;mobile;Yandex Ads;YA_BRAND;Смартфоны;5;0;0;;0
5000140;2024-01-01 17:39:27;;Челябинск;mobile;Direct;;Смартфоны;3;0;0;;0
5000141;2024-01-01 15:32:42;206434;Челябинск;mobile;Telegram;TG_LOCAL;Аудиотехника;5;0;0;;0
5000142;2024-01-01 20:03:59;202840;Магнитогорск;mobile;Direct;;Смартфоны;1;0;0;;0
5000143;2024-01-01 14:07:54;202751;Челябинск;mobile;VK Ads;VK_RETARGET;Смартфоны;3;1;1;700012;1
5000144;2024-01-01 14:51:48;;Челябинск;mobile;Telegram;TG_LOCAL;Телевизоры и игровые приставки;6;0;0;;0
5000145;2024-01-01 22:41:56;209055;Тюмень;mobile;Organic;;Смартфоны;2;1;1;700013;1
5000146;2024-01-01 21:49:53;200486;Челябинск;desktop;Referral;;Аксессуары;4;0;0;;0
5000147;2024-01-01 22:27:01;209721;Екатеринбург;mobile;Direct;;Смартфоны;4;0;0;;0
5000148;2024-01-01 17:47:09;204999;Тюмень;desktop;Yandex Ads;YA_BRAND;Товары для дома и офиса;7;0;0;;0
5000149;2024-01-01 20:09:45;201282;Челябинск;mobile;VK Ads;VK_RETARGET;Аксессуары;2;0;0;;0
5000150;2024-01-01 21:19:03;205161;Челябинск;desktop;Yandex Ads;YA_GENERIC;Аудиотехника;3;0;0;;0
5000151;2024-01-01 15:17:30;207371;Челябинск;mobile;VK Ads;VK_RETARGET;Аудиотехника;2;0;0;;0
5000152;2024-01-01 17:10:58;203417;Челябинск;mobile;Yandex Ads;YA_GENERIC;Смартфоны;5;0;0;;0
5000153;2024-01-01 15:27:24;204798;Новосибирск;desktop;Yandex Ads;YA_GENERIC;Аудиотехника;4;0;0;;0
5000154;2024-01-01 16:57:23;203335;Миасс;mobile;Organic;;Смарт-часы и браслеты;5;1;1;700014;1
5000155;2024-01-01 13:30:52;200187;Нижневартовск;mobile;Referral;;Компьютеры и планшеты;2;0;0;;0
5000156;2024-01-01 09:21:35;200704;Челябинск;mobile;Direct;;Аксессуары;4;0;0;;0
5000157;2024-01-01 14:54:53;;Оренбург;mobile;Yandex Ads;YA_GENERIC;Смарт-часы и браслеты;1;0;0;;0
5000158;2024-01-01 11:53:41;;Челябинск;mobile;Yandex Ads;YA_GENERIC;Смарт-часы и браслеты;2;1;0;;0
5000159;2024-01-01 19:15:32;;Челябинск;mobile;Yandex Ads;YA_GENERIC;Компьютеры и планшеты;1;0;0;;0
5000160;2024-01-01 16:31:38;205676;Челябинск;tablet;Yandex Ads;YA_BRAND;Аксессуары;6;0;0;;0
5000161;2024-01-01 16:27:31;206420;Миасс;mobile;Direct;;Телевизоры и игровые приставки;6;0;0;;0
5000162;2024-01-01 16:22:31;200114;Златоуст;mobile;Telegram;TG_LOCAL;Смарт-часы и браслеты;5;0;0;;0
5000163;2024-01-01 16:34:13;209952;Санкт-Петербург;mobile;Yandex Ads;YA_GENERIC;Компьютеры и планшеты;4;0;0;;0
5000164;2024-01-01 17:07:30;206282;Копейск;mobile;Referral;;Аксессуары;5;0;0;;0
5000165;2024-01-01 10:09:38;;Златоуст;mobile;Direct;;Аксессуары;1;0;0;;0
5000166;2024-01-01 18:30:31;204192;Челябинск;mobile;Telegram;TG_LOCAL;Смартфоны;5;0;0;;0
5000167;2024-01-01 13:24:27;208414;Екатеринбург;mobile;Organic;;Компьютеры и планшеты;6;0;0;;0
5000168;2024-01-01 14:36:45;206348;Москва;tablet;Organic;;Смартфоны;6;0;0;;0
5000169;2024-01-01 10:30:12;200294;Нижневартовск;mobile;Direct;;Аксессуары;5;0;0;;0
5000170;2024-01-01 19:46:50;209141;Копейск;mobile;Referral;;Товары для дома и офиса;6;1;1;700015;0
5000171;2024-01-01 21:37:29;207089;Челябинск;mobile;Organic;;Аудиотехника;4;1;1;700016;1
5000172;2024-01-01 16:40:49;;Челябинск;mobile;Organic;;Аксессуары;2;0;0;;0
5000173;2024-01-01 19:28:06;205725;Челябинск;mobile;VK Ads;VK_RETARGET;Смартфоны;3;0;0;;0
5000174;2024-01-01 15:38:00;206702;Екатеринбург;desktop;Referral;;Аксессуары;5;0;0;;0
5000175;2024-01-01 08:20:22;200283;Тюмень;mobile;Direct;;Товары для дома и офиса;5;0;0;;0
5000176;2024-01-01 17:48:26;200197;Новосибирск;mobile;VK Ads;VK_RETARGET;Аудиотехника;3;0;0;;0
5000177;2024-01-01 14:49:52;204509;Самара;desktop;Organic;;Аудиотехника;3;1;1;;0
5000178;2024-01-01 10:01:15;207884;Копейск;mobile;Referral;;Телевизоры и игровые приставки;4;0;0;;0
5000179;2024-01-01 22:03:08;208339;Челябинск;mobile;Direct;;Товары для дома и офиса;3;0;0;;0
5000180;2024-01-01 19:21:33;208382;Челябинск;mobile;Organic;;Компьютеры и планшеты;5;0;0;;0
5000181;2024-01-01 16:48:32;;Екатеринбург;mobile;Direct;;Аксессуары;6;1;1;700017;1
5000182;2024-01-01 17:45:25;202057;Ижевск;mobile;Telegram;TG_LOCAL;Смартфоны;1;0;0;;0
5000183;2024-01-01 19:04:51;200796;Казань;desktop;Yandex Ads;YA_BRAND;Аудиотехника;4;0;0;;0
5000184;2024-01-01 21:19:17;206918;Магнитогорск;mobile;Organic;;Смарт-часы и браслеты;6;0;0;;0
5000185;2024-01-01 19:44:34;;Копейск;mobile;Direct;;Аудиотехника;3;0;0;;0
5000186;2024-01-01 13:51:57;201185;Тюмень;mobile;Organic;;Смарт-часы и браслеты;5;0;0;;0
5000187;2024-01-01 15:47:59;202545;Челябинск;mobile;Yandex Ads;YA_GENERIC;Смартфоны;1;0;0;;0
5000188;2024-01-01 18:42:25;203461;Москва;desktop;Organic;;Аксессуары;6;0;0;;0
5000189;2024-01-01 12:28:18;206408;Златоуст;mobile;Organic;;Компьютеры и планшеты;6;1;1;700018;0
5000190;2024-01-01 16:14:46;204229;Миасс;mobile;Direct;;Товары для дома и офиса;5;0;0;;0
5000191;2024-01-01 20:19:53;202430;Москва;tablet;Referral;;Смартфоны;5;0;0;;0
5000192;2024-01-01 22:48:04;;Челябинск;mobile;Direct;;Смарт-часы и браслеты;2;0;0;;0
5000193;2024-01-01 21:51:18;208944;Самара;mobile;Yandex Ads;YA_GENERIC;Телевизоры и игровые приставки;4;0;0;;0
5000194;2024-01-01 18:11:18;207611;Челябинск;mobile;Organic;;Аксессуары;4;1;0;;0
5000195;2024-01-01 10:24:39;203002;Копейск;desktop;Direct;;Смартфоны;3;1;1;700019;1
5000196;2024-01-01 22:39:46;200981;Оренбург;mobile;Direct;;Телевизоры и игровые приставки;3;1;1;700020;1
5000197;2024-01-01 13:48:58;200144;Нижневартовск;mobile;Yandex Ads;YA_GENERIC;Компьютеры и планшеты;5;0;0;;0
5000198;2024-01-01 09:31:53;200939;Копейск;mobile;Organic;;Аксессуары;7;0;0;;0
5000199;2024-01-01 16:20:42;201952;Челябинск;desktop;Yandex Ads;YA_GENERIC;Телевизоры и игровые приставки;3;0;0;;0
5000200;2024-01-01 14:50:35;209137;Ижевск;mobile;Yandex Ads;YA_GENERIC;Смартфоны;1;0;0;;0
5000201;2024-01-01 20:57:23;209094;Копейск;mobile;Yandex Ads;YA_GENERIC;Аксессуары;1;0;0;;0
5000202;2024-01-01 12:24:10;208221;Пермь;mobile;Direct;;Аксессуары;5;0;0;;0
5000203;2024-01-01 20:58:30;209054;Уфа;mobile;Direct;;Компьютеры и планшеты;9;1;1;700021;1
5000204;2024-01-01 16:39:28;201991;Челябинск;mobile;Email;;Аксессуары;4;0;0;;0
5000205;2024-01-01 18:13:50;201929;Челябинск;mobile;Organic;;Смарт-часы и браслеты;3;0;0;;0
5000206;2024-01-01 23:42:03;204528;Челябинск;mobile;Yandex Ads;YA_GENERIC;Аудиотехника;7;0;0;;0
5000207;2024-01-01 22:00:38;206366;Челябинск;desktop;VK Ads;VK_RETARGET;Телевизоры и игровые приставки;1;0;0;;0
5000208;2024-01-01 17:47:47;205323;Курган;mobile;Organic;;Смарт-часы и браслеты;6;0;0;;0
5000209;2024-01-01 11:31:50;203697;Курган;mobile;Yandex Ads;YA_BRAND;Смартфоны;6;0;0;;0
5000210;2024-01-01 20:49:15;209971;Златоуст;tablet;Direct;;Аудиотехника;3;1;1;700022;1
5000211;2024-01-01 16:06:34;207527;Магнитогорск;desktop;Organic;;Смарт-часы и браслеты;5;0;0;;0
5000212;2024-01-01 13:59:07;207227;Челябинск;desktop;Organic;;Телевизоры и игровые приставки;4;0;0;;0
5000213;2024-01-01 12:03:56;205164;Миасс;tablet;Yandex Ads;YA_GENERIC;Товары для дома и офиса;5;0;0;;0
5000214;2024-01-01 10:05:17;206721;Магнитогорск;mobile;Organic;;Смарт-часы и браслеты;7;0;0;;0
5000215;2024-01-01 15:28:11;202201;Челябинск;mobile;Organic;;Смартфоны;4;0;0;;0
5000216;2024-01-01 18:40:04;207832;Челябинск;mobile;Direct;;Аудиотехника;4;0;0;;0
5000217;2024-01-01 23:24:23;201352;Уфа;mobile;Direct;;Компьютеры и планшеты;5;0;0;;0
5000218;2024-01-01 13:28:08;;Казань;mobile;Organic;;Смарт-часы и браслеты;3;0;0;;0
5000219;2024-01-01 22:22:05;;Екатеринбург;mobile;Direct;;Телевизоры и игровые приставки;3;0;0;;0
5000220;2024-01-01 15:43:02;204924;Магнитогорск;desktop;Email;;Аудиотехника;2;0;0;;0
5000221;2024-01-01 10:28:35;206510;Челябинск;mobile;Telegram;TG_LOCAL;Аксессуары;3;0;0;;0
5000222;2024-01-01 21:51:31;203147;Челябинск;mobile;Email;;Телевизоры и игровые приставки;4;0;0;;0
5000223;2024-01-01 16:46:45;209940;Челябинск;mobile;VK Ads;VK_RETARGET;Смарт-часы и браслеты;6;1;0;;0
5000224;2024-01-01 13:13:55;201249;Челябинск;desktop;Direct;;Телевизоры и игровые приставки;5;1;1;700023;0
5000225;2024-01-01 20:42:40;208032;Нижневартовск;mobile;Direct;;Аксессуары;6;0;0;;0
5000226;2024-01-01 12:56:38;202534;Курган;desktop;Organic;;Смартфоны;3;0;0;;0
5000227;2024-01-01 19:34:32;201996;Челябинск;desktop;Direct;;Смарт-часы и браслеты;4;0;0;;0
5000228;2024-01-01 21:11:24;201688;Тюмень;mobile;Yandex Ads;YA_GENERIC;Аудиотехника;4;0;0;;0
5000229;2024-01-01 18:06:33;;Копейск;mobile;VK Ads;VK_RETARGET;Смартфоны;1;0;0;;0
5000230;2024-01-01 12:30:41;;Челябинск;mobile;Organic;;Аксессуары;3;0;0;;0
5000231;2024-01-01 19:18:17;;Миасс;mobile;Organic;;Аксессуары;9;0;0;;0
5000232;2024-01-01 16:08:11;201447;Санкт-Петербург;mobile;Yandex Ads;YA_GENERIC;Смартфоны;5;1;1;;0
5000233;2024-01-01 10:43:20;206187;Челябинск;desktop;VK Ads;VK_RETARGET;Компьютеры и планшеты;6;0;0;;0
5000234;2024-01-01 17:47:47;205636;Магнитогорск;mobile;VK Ads;VK_RETARGET;Смарт-часы и браслеты;2;1;0;;0
5000235;2024-01-01 18:24:45;206078;Уфа;desktop;Direct;;Аксессуары;6;0;0;;0
5000236;2024-01-01 12:48:16;208390;Челябинск;desktop;Yandex Ads;YA_GENERIC;Аудиотехника;3;0;0;;0
5000237;2024-01-01 22:24:46;203711;Екатеринбург;desktop;Direct;;Аудиотехника;4;0;0;;0
5000238;2024-01-01 12:56:59;201058;Челябинск;desktop;Telegram;TG_LOCAL;Аксессуары;6;1;1;700024;1
5000239;2024-01-01 17:48:16;203077;Курган;desktop;Organic;;Смартфоны;6;0;0;;0
5000240;2024-01-01 12:21:36;;Курган;mobile;Yandex Ads;YA_BRAND;Аксессуары;5;0;0;;0
5000241;2024-01-01 09:55:40;203324;Златоуст;mobile;Organic;;Смартфоны;3;0;0;;0
